playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
184,null,Donnie Avery,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
206,null,Andre Caldwell,WR,DEN,WR,DEN,null,2.351,null,null,348,348,null,null,0.092,null,null,null,4.5033,0.41,4.6936,null
216,null,Fred Davis,TE,FA,TE,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
222,null,Harry Douglas,WR,TEN,WR,TEN,null,6.879,null,null,188,188,null,null,0.1326,null,null,null,8.5447,4.153,5.4992,null
230,null,Jerome Felton,RB,BUF,RB,BUF,null,0.951,null,null,420,420,null,null,0.0037,null,null,null,1.3954,0.201,4.8196,null
234,null,Matt Forte,RB,CHI,RB,CHI,null,17.2501,null,null,25,25,null,null,0.3058,null,null,null,19.0649,12.5017,6.464,null
252,null,Chad Henne,QB,JAC,QB,JAC,null,1.0816,null,null,408,408,null,null,0.0591,null,null,null,2.0558,0,6.5394,null
262,null,Chris Johnson,RB,ARI,RB,ARI,null,4.9113,null,null,253,253,null,null,0.3383,null,null,null,5.7098,2.829,2.2559,null
284,null,Darren McFadden,RB,DAL,RB,DAL,null,6.9655,null,null,185,185,null,null,0.2531,null,null,null,8.7012,3.7673,3.537,null
310,null,Matt Ryan,QB,ATL,QB,ATL,null,20.0602,null,null,7,7,null,null,0.5507,null,null,null,20.5657,18.406,5.8529,null
318,null,Jerome Simpson,WR,SF,WR,SF,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
324,null,Jacob Tamme,TE,ATL,TE,ATL,null,4.1662,null,null,281,281,null,null,0.4971,null,null,null,5.8881,1.61,2.4453,null
367,null,Matt Flynn,QB,FA,QB,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
382,null,Joe Flacco,QB,BAL,QB,BAL,null,17.0669,null,null,27,27,null,null,0.5292,null,null,null,17.9709,13.9659,3.3639,null
768,null,Steve Johnson,WR,SD,WR,SD,null,9.5105,null,null,120,120,null,null,0.131,null,null,null,12.4599,4.858,9.3737,null
832,null,Josh Morgan,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
925,null,Jamaal Charles,RB,KC,RB,KC,null,16.939,null,null,29,29,null,null,1.2486,null,null,null,17.9149,15.22,5.7613,null
927,null,Justin Forsett,RB,BAL,RB,BAL,null,12.9707,null,null,58,58,null,null,0.5278,null,null,null,13.8892,10.3,4.9235,null
929,null,BenJarvus Green-Ellis,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
941,null,Ray Rice,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
949,null,Jonathan Stewart,RB,CAR,RB,CAR,null,10.1401,null,null,104,104,null,null,0.2949,null,null,null,11.6127,6.323,4.7313,null
1030,null,Mario Manningham,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
1032,null,Jordy Nelson,WR,GB,WR,GB,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
1060,null,Gary Barnidge,TE,CLE,TE,CLE,null,3.6795,null,null,300,300,null,null,0.0482,null,null,null,5.239,0.9376,5.0428,null
1062,null,Martellus Bennett,TE,CHI,TE,CHI,null,10.916,null,null,88,88,null,null,0.6628,null,null,null,13.514,8.74,6.6815,null
1072,null,Jermichael Finley,TE,FA,TE,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
1581,null,DeSean Jackson,WR,WAS,WR,WAS,null,11.4518,null,null,80,80,null,null,0.1715,null,null,null,13.8449,6.4442,6.9422,null
1966,null,John Carlson,TE,FA,TE,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
1980,null,Peyton Hillis,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
1990,null,Eddie Royal,WR,CHI,WR,CHI,null,10.3915,null,null,98,98,null,null,0.2637,null,null,null,13.6161,7.4112,6.7128,null
1992,null,Craig Stevens,TE,TEN,TE,TEN,null,0.8598,null,null,430,430,null,null,0.1627,null,null,null,1.6811,0.03,5.198,null
2346,null,Pierre Garcon,WR,WAS,WR,WAS,null,9.4975,null,null,121,121,null,null,0.3321,null,null,null,10.946,7.455,3.4617,null
2649,null,Danny Amendola,WR,NE,WR,NE,null,7.1628,null,null,180,180,null,null,0.1698,null,null,null,8.2899,4.5069,1.1765,null
4231,null,Jed Collins,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
4327,null,Danny Woodhead,RB,SD,RB,SD,null,7.4957,null,null,168,168,null,null,0.2705,null,null,null,8.9913,5.8209,2.4591,null
4381,null,Garrett Hartley,K,PIT,K,PIT,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
4383,null,Tim Hightower,RB,NO,RB,NO,null,1.1203,null,null,401,401,null,null,0.0106,null,null,null,1.6152,0,4.1578,null
4433,null,Marcel Reece,RB,OAK,RB,OAK,null,2.534,null,null,340,340,null,null,0.0263,null,null,null,4.1358,1.6211,4.9138,null
4487,null,Matthew Slater,WR,NE,WR,NE,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
71217,null,Kenny Britt,WR,STL,WR,STL,null,6.3153,null,null,211,211,null,null,0.0394,null,null,null,6.5595,4.998,4.449,null
71247,null,James Casey,TE,DEN,TE,DEN,null,1.5502,null,null,379,379,null,null,0.1227,null,null,null,1.9502,0.1979,2.964,null
71255,null,Chase Coffman,TE,FA,TE,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
71265,null,Jared Cook,TE,STL,TE,STL,null,5.9062,null,null,219,219,null,null,0.2237,null,null,null,6.4042,3.8938,3.0528,null
71269,null,Michael Crabtree,WR,OAK,WR,OAK,null,7.8789,null,null,155,155,null,null,0.664,null,null,null,9.4736,5.339,4.5354,null
