playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.4037","null","null","332","332","null","null","0.1325","null","null","null","2.438","0.11","5.139","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","5.4703","null","null","210","210","null","null","0.0371","null","null","null","6.3893","4.3809","2.6121","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.7895","null","null","373","373","null","null","0.0224","null","null","null","1.5428","0.01","3.7045","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","17.6243","null","null","15","15","null","null","1.3159","null","null","null","19.719","14.97","6.0406","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.7929","null","null","318","318","null","null","0.3554","null","null","null","2.8492","0","3.4896","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","10.6628","null","null","78","78","null","null","0.2945","null","null","null","12.3798","6.4679","2.9832","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","19.676","null","null","5","5","null","null","0.8621","null","null","null","20.7071","18.2796","3.8868","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","5.889","null","null","192","192","null","null","0.0136","null","null","null","8.1606","2.3788","4.3722","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.7062","null","null","24","24","null","null","0.192","null","null","null","17.7839","13.3016","2.5994","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","2.8311","null","null","285","285","null","null","0.0658","null","null","null","7.0818","0","6.9691","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","13.5902","null","null","48","48","null","null","0.1953","null","null","null","17.2348","9.59","6.7824","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","7.9002","null","null","139","139","null","null","0.3435","null","null","null","8.714","0.8466","6.0316","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","8.4216","null","null","117","117","null","null","0.1322","null","null","null","8.6652","7.0926","5.9196","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","10.852","null","null","75","75","null","null","0.1953","null","null","null","13.5076","7.22","7.9795","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","4.7942","null","null","232","232","null","null","0.0343","null","null","null","10.8087","0","11.3964","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","7.946","null","null","133","133","null","null","0.1024","null","null","null","11.6196","5.93","4.7343","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","0.9212","null","null","361","361","null","null","0.0436","null","null","null","1.586","0.04","5.7212","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","9.6842","null","null","91","91","null","null","0.4609","null","null","null","10.4867","8.1769","3.5261","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","6.4851","null","null","177","177","null","null","0.3715","null","null","null","8.4822","2.9889","2.3382","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","11.0355","null","null","73","73","null","null","0.3271","null","null","null","14.0762","8.18","4.2636","null",
"4381","null","Garrett Hartley","K","PIT","K","PIT","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","0.0133","null","null","468","468","null","null","0.0066","null","null","null","0.0244","0","8.1596","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0.3129","null","null","421","421","null","null","0.0352","null","null","null","0.4567","0","7.006","null",
"71247","null","James Casey","TE","FA","TE","FA","null","0.4516","null","null","403","403","null","null","0.0333","null","null","null","0.7978","0","4.4658","null",
"71255","null","Chase Coffman","TE","FA","TE","FA","null","0.3137","null","null","420","420","null","null","0.0648","null","null","null","0.5234","0","5.3999","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","7.6423","null","null","148","148","null","null","0.1553","null","null","null","9.1137","5.4231","7.8366","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","8.4813","null","null","115","115","null","null","0.5285","null","null","null","11.0466","6.22","3.9971","null",
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","2.7896","null","null","289","289","null","null","0.0574","null","null","null","3.271","0.68","4.4678","null",
"71435","null","John Phillips","TE","SD","TE","SD","null","0.371","null","null","412","412","null","null","0.0179","null","null","null","0.7048","0.01","4.9427","null",
"79555","null","Arian Foster","RB","HOU","RB","HOU","null","15.9676","null","null","30","30","null","null","2.0856","null","null","null","17.3144","11.77","4.455","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"79563","null","Shonn Greene","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","SD","TE","SD","null","1.0562","null","null","347","347","null","null","0.0821","null","null","null","2.1335","0","5.1298","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","9.8833","null","null","89","89","null","null","0.6731","null","null","null","12.6081","0","11.5826","null",
"79619","null","Knowshon Moreno","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"79625","null","Bear Pascoe","TE","FA","TE","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0.3916","null","null","410","410","null","null","0.0278","null","null","null","0.7191","0","7.8705","null",
"79858","null","Mark Sanchez","QB","PHI","QB","PHI","null","1.1478","null","null","341","341","null","null","0.2169","null","null","null","1.9496","-0.0689","2.6391","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","17.9995","null","null","12","12","null","null","0.2788","null","null","null","19.5113","15.26","2.6376","null",
"80425","null","Percy Harvin","WR","BUF","WR","BUF","null","7.9288","null","null","137","137","null","null","0.1726","null","null","null","8.5858","6.9287","3.8842","null",
"80427","null","Darrius Heyward-Bey","WR","PIT","WR","PIT","null","2.7924","null","null","288","288","null","null","0.1427","null","null","null","4.2618","0.5369","1.5184","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","13.6466","null","null","47","47","null","null","0.1782","null","null","null","15.5113","12.15","4.7583","null",
"80672","null","Hakeem Nicks","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"80674","null","Chris Ogbonnaya","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"81284","null","Chase Daniel","QB","KC","QB","KC","null","0.2597","null","null","426","426","null","null","0.0208","null","null","null","0.413","0","4.5012","null",
"81288","null","Brandon Gibson","WR","NE","WR","NE","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"81294","null","Brian Hoyer","QB","HOU","QB","HOU","null","13.6726","null","null","46","46","null","null","0.2952","null","null","null","16.8819","0","10.3411","null",
"81306","null","Brandon Tate","WR","CIN","WR","CIN","null","1.0522","null","null","348","348","null","null","0.0576","null","null","null","2.187","0.1743","7.5679","null",
"81831","null","Brian Hartline","WR","CLE","WR","CLE","null","4.6809","null","null","236","236","null","null","0.1544","null","null","null","5.3725","3.8008","4.0673","null",
"81857","null","Kevin Ogletree","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"89688","null","Kevin Brock","TE","FA","TE","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"89798","null","Antone Smith","RB","CHI","RB","CHI","null","0.4644","null","null","402","402","null","null","0.0785","null","null","null","1.0032","0","4.1247","null",
"89802","null","Ryan Succop","K","TEN","K","TEN","null","7.2567","null","null","160","160","null","null","0.1072","null","null","null","9.1589","0","7.9708","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","7.4216","null","null","153","153","null","null","0.452","null","null","null","8.054","4.7229","8.0396","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","8.3024","null","null","123","123","null","null","0.3087","null","null","null","8.5817","4.984","3.2546","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","6.3873","null","null","181","181","null","null","0.4164","null","null","null","6.8084","3.9943","3.5447","null",
